id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
27454297,Brooklyn Style Hostel RM4 #1,119669058,Melissa,Brooklyn,Bedford-Stuyvesant,40.69322,-73.95519,Shared room,36,3,12,43635,1.06,34,361
19382104,Stylish Share With Exposed Brick In Brooklyn,25064774,Eden,Brooklyn,Bedford-Stuyvesant,40.68936,-73.94189,Private room,33,14,1,42932,0.04,1,0
8953404,LARGE BEDROOM CLOSE TO MANHATTAN,45416627,Lolita,Queens,Astoria,40.76801,-73.92501,Private room,55,1,78,43636,1.78,9,311
16323239,Spacious 2 BDR - Hell's Kitchen/Times Square,2559886,Sy,Manhattan,Hell's Kitchen,40.76284,-73.98849,Entire home/apt,130,4,2,43069,0.07,1,0
21786337,Master Bedroom in Harlem - 20 min to Midtown!,64837680,Andrea,Manhattan,Harlem,40.82774,-73.94609,Private room,60,1,1,43101,0.05,1,0
10166820,Brooklyn apartment 20 min to Manhattan,486147,Christopher,Brooklyn,Park Slope,40.67174,-73.98616,Private room,63,30,17,43344,0.44,1,73
15894199,Crown Heights Duplex Apt.,103087934,Martha,Brooklyn,Crown Heights,40.67567,-73.93744,Entire home/apt,158,4,61,43616,1.92,1,264
26125349,Beautiful apartment in Greenpoint,502897,Malu,Brooklyn,Greenpoint,40.72791,-73.95689,Entire home/apt,150,5,1,43271,0.08,1,0
15928635,"Sunny, Cozy, Private Room In The Heart of Bushwick",278393,Dylana,Brooklyn,Bushwick,40.69906,-73.92431,Private room,40,2,96,43640,2.99,3,78
18459547,Dumbo Penthouse Loft with Outdoor Spaces & Views,1349266,Adam,Brooklyn,Vinegar Hill,40.70369,-73.98306,Entire home/apt,186,30,1,43627,1,1,1
29614352,Steps from Times Square and Subway!,9489892,Serim,Manhattan,Hell's Kitchen,40.76186,-73.98851,Private room,99,1,15,43632,1.81,1,0
19967657,Sanjay's Art Lab - Prime LES - Quintessential NYC,16549535,Sanjay,Manhattan,Lower East Side,40.71624,-73.98935,Entire home/apt,50,1,6,43371,0.28,1,0
13042051,Modern Williamsburg Condo near restaurants + metro,43339525,Jeff,Brooklyn,Williamsburg,40.7163,-73.94394,Entire home/apt,178,2,22,43394,0.59,1,3
19890678,Sunny room with a Balcony in Prospect Heights,513517,Tak,Brooklyn,Crown Heights,40.67567,-73.95779,Private room,59,2,1,43245,0.07,1,0
24792114,Sunny apartment,3405917,Juliana,Queens,Sunnyside,40.74597,-73.91434,Private room,55,3,26,43633,1.82,1,1
7788880,"Home 4 Medical Professionals- The ""Camphor""",26377263,Stat,Brooklyn,Bushwick,40.70387,-73.91665,Private room,47,30,4,43330,0.13,43,144
6130145,Moma Casanova. New Additions!,29871437,Ester,Queens,Sunnyside,40.74315,-73.91733,Private room,78,3,113,43647,2.23,1,285
1300216,1 Bdrm Apt  2 blocks to subway 15 mins to Midtown,2135948,Giovanni,Queens,Astoria,40.76788,-73.92334,Entire home/apt,100,1,102,43649,1.73,1,33
34313601,Large 1 BR *** Featured on This Old House,29659188,Kevin And Karen,Brooklyn,Prospect Heights,40.6774,-73.96864,Entire home/apt,279,2,11,43652,5.69,1,112
3565617,Modern sunny one bed apt,17953139,Oisin,Manhattan,Lower East Side,40.7211,-73.98397,Entire home/apt,175,7,9,43441,0.27,1,255
5271997,NEW YORK CITY!!! LOCATION LOCATION!,6716330,Chris,Manhattan,Upper West Side,40.77311,-73.98606,Private room,125,3,124,43640,2.32,3,347
27633987,One bedroom apt in a brownstone - Manhattan,208531763,Féven,Manhattan,Harlem,40.81915,-73.9425,Entire home/apt,112,4,9,43638,1.04,1,89
3642801,"Cozy Brooklyn  studio, 30 min to Manhattan",2052361,Katya,Brooklyn,Prospect-Lefferts Gardens,40.6553,-73.95816,Entire home/apt,80,3,24,43639,0.4,3,19
7615409,AMAZING 1 BR APT LES/Chinatown NYC,39938343,Aleksey,Manhattan,Lower East Side,40.71813,-73.99231,Entire home/apt,145,6,13,43254,0.27,1,0
34860021,"Spacious sunny 1 bedroom, steps away from subway",262803937,Roddison,Brooklyn,Prospect-Lefferts Gardens,40.66288,-73.95277,Entire home/apt,90,2,4,43640,2.73,1,73
8685857,Spacious Brooklyn Getaway,42713726,Emily,Brooklyn,Crown Heights,40.66882,-73.95396,Private room,80,1,1,42374,0.02,1,0
951944,Quiet Studio in Prime SoHo,1408973,Dom,Manhattan,SoHo,40.72493,-74.00307,Entire home/apt,235,3,73,43651,0.94,1,44
29881570,New york Cozy Studio Near multiple metro Lines,12131971,Maria,Manhattan,Midtown,40.75855,-73.96961,Entire home/apt,140,1,3,43443,0.37,1,0
10056541,"Bright Studio - Park Slope, BK",10807649,Yehua,Brooklyn,South Slope,40.66218,-73.98385,Entire home/apt,61,2,20,43615,0.57,1,0
24327546,Cozy & warm private studio apartment in Astoria,80885460,Amy,Queens,Ditmars Steinway,40.77467,-73.9094,Entire home/apt,100,2,6,43632,0.42,1,0
1130680,It's all about Bushwick BROOKLYN,55176,Madison,Brooklyn,Bushwick,40.68767,-73.91261,Entire home/apt,100,3,308,43651,4.11,1,99
26803876,"Brooklyn studio by the park, 30 min to Manhattan",2052361,Katya,Brooklyn,Prospect-Lefferts Gardens,40.65501,-73.95948,Entire home/apt,80,3,2,43626,0.32,3,0
6652755,The Art Loft! Spacious and Bright!,16718896,Kim,Brooklyn,Bedford-Stuyvesant,40.6924,-73.96029,Entire home/apt,145,5,25,43102,0.51,1,0
12396603,Dean Street Oasis,20942935,Miriam,Brooklyn,Crown Heights,40.67529,-73.93671,Private room,66,1,1,42492,0.03,1,0
7665764,US Open? Perfect Lg 1 BR apartment,40244009,Marvin,Queens,Sunnyside,40.73926,-73.92045,Entire home/apt,150,3,2,42260,0.04,1,0
10801094,FT Greene Flat Private Entrance,11189753,Sj,Brooklyn,Fort Greene,40.68729,-73.96995,Entire home/apt,225,10,10,43640,0.26,4,350
6780285,Beautiful Williamsburg townhouse on a park.,230856,Gabrielle & Malcolm,Brooklyn,Williamsburg,40.7154,-73.93866,Entire home/apt,295,30,6,43209,0.13,1,0
6885369,Beautiful Apt in Lefferts Gardens,1442860,Godfrey,Brooklyn,Flatbush,40.6548,-73.95388,Private room,40,2,32,43647,0.68,1,82
14041141,"Epic West Village, NYC rental",20971070,Melani,Manhattan,Chelsea,40.73819,-73.99835,Entire home/apt,175,27,2,43399,0.06,1,310
20899010,"Historic (& happening!) Prospect Heights, BK",5761096,Leah,Brooklyn,Prospect Heights,40.67556,-73.96427,Private room,80,1,1,42991,0.05,1,0
21080763,"CHIC 2 BEDROOM W/ LUXURY FINISHES, WASHER DRYER",61391963,Corporate Housing,Manhattan,Kips Bay,40.74061,-73.97991,Entire home/apt,185,30,4,43555,0.25,91,201
32237469,Sonder | Stock Exchange | Welcoming 1BR + Laundry,219517861,Sonder (NYC),Manhattan,Financial District,40.7074,-74.01175,Entire home/apt,228,2,2,43603,0.73,327,350
28895817,SUNNY ROOM WITH SKYLIGHT + 2 BEDS,23188519,Emily Wes,Brooklyn,Bedford-Stuyvesant,40.69524,-73.95322,Private room,67,30,31,43632,3.41,6,333
25950590,Cozy room close to Central Park and Columbia,2732777,Beatriz,Manhattan,Upper West Side,40.8018,-73.96264,Private room,115,3,19,43633,1.5,1,189
6044964,Beach Lovers Dream!,31204745,Monika,Queens,Arverne,40.58921,-73.79479,Entire home/apt,89,2,150,43627,3,1,268
13333542,Beautifully Designed Island Style Garden Suite,75478154,Malene,Brooklyn,Bedford-Stuyvesant,40.68252,-73.93863,Entire home/apt,229,4,92,43631,2.54,1,236
22249013,Cozy Bushwick Loft Apartment,17672907,Imani,Brooklyn,Bushwick,40.69178,-73.91243,Private room,30,3,7,43171,0.38,1,0
27802387,Living Room sofa Bed in Chelsea,12750945,Luis,Manhattan,Chelsea,40.74186,-73.99769,Shared room,85,2,22,43639,2.19,4,365
29233568,Cozy apartment in PERFECT location!,41083526,Brenda,Queens,Sunnyside,40.74529,-73.92176,Shared room,50,1,9,43547,1.03,2,0
25213872,Cheap & Comfy Huge Private Room!,5789204,Honglip,Brooklyn,Bensonhurst,40.61006,-73.99902,Private room,37,4,52,43646,3.94,1,70
7498508,The big little room,24377694,Kori,Brooklyn,Crown Heights,40.67804,-73.95411,Private room,105,1,1,43002,0.05,3,0
13746257,Prime North Williamsburg Luxury Studio,80501262,Raquel,Brooklyn,Williamsburg,40.718,-73.9525,Entire home/apt,175,2,9,43464,0.29,1,0
26774653,"Bright, Spacious Apartment in Brooklyn",27742407,Filippo,Brooklyn,Clinton Hill,40.68453,-73.96773,Entire home/apt,120,5,2,43357,0.19,1,13
27236170,Staten Island Home with a View,205132904,Farah,Staten Island,Tompkinsville,40.63513,-74.07929,Private room,135,2,65,43640,6.13,2,293
9334840,Cozy warm one bedroom,2716515,Nick,Queens,Astoria,40.7576,-73.9067,Entire home/apt,70,1,1,42319,0.02,1,0
20914425,"Room in duplex  w/sep. bathroom, close to J train",878546,Semih,Brooklyn,Bedford-Stuyvesant,40.68859,-73.92238,Private room,100,2,8,43507,0.38,1,0
34336740,Upper West 1 Bedroom / 1 Bath. Lincoln Center,131647128,Emily,Manhattan,Upper West Side,40.77567,-73.988,Entire home/apt,190,30,2,43631,1.36,25,322
29828614,New York home ferry ride from Manhattan.,224370048,Pariis,Staten Island,Tompkinsville,40.63304,-74.09244,Private room,90,1,6,43639,0.95,1,262
30425770,Queens Corner Lot,128580688,#NAME?,Queens,Queens Village,40.70524,-73.73349,Entire home/apt,150,1,51,43653,7.43,1,248
12519645,Upper East Side Room,56623911,Christa,Manhattan,East Harlem,40.78809,-73.95333,Private room,45,1,3,42510,0.08,1,0
18675599,Large Place bushwick with furniture,129812563,Roodmy,Brooklyn,Bushwick,40.69416,-73.90816,Private room,45,7,11,42998,0.42,1,0
21526187,West Village Bedroom in duplex apartment,118137788,Chris,Manhattan,West Village,40.72986,-74.00465,Private room,100,2,3,43055,0.15,1,0
30717487,Charming Williamsburg Loft - 1 BR,63260432,Thibaut,Brooklyn,Greenpoint,40.7198,-73.95489,Entire home/apt,179,1,15,43604,2.54,1,0
6357128,Private Bedroom in Beautiful Apartment,20156894,Florence And Peter,Manhattan,Harlem,40.80627,-73.94896,Private room,95,4,20,43375,0.51,1,69
9597258,Cozy and affordable room.,32379616,Fabiola,Bronx,Williamsbridge,40.88165,-73.85625,Private room,34,5,17,43616,0.4,2,313
587698,Very close to Downtown Awesome Room,807642,Jeffrey,Brooklyn,Gravesend,40.60399,-73.97092,Private room,72,1,61,43652,0.81,2,335
29943455,Cozy and Nice room in Queens! good subway access!,200239515,Shogo,Queens,Woodside,40.74287,-73.89439,Private room,32,28,3,43617,0.47,15,0
20149318,Wonderful room for rent in the Bronx,19297877,Albena,Bronx,Bronxdale,40.85527,-73.86719,Private room,35,1,21,43445,0.96,1,284
14809342,Soho/Nolita Apartment w/Rooftop Terrace,3599088,Chris,Manhattan,Nolita,40.72191,-73.99472,Entire home/apt,120,19,5,43184,0.17,2,0
24378513,Sunny Spacious Private Bedroom in Brooklyn,714531,Gabriel,Brooklyn,Prospect-Lefferts Gardens,40.65618,-73.95664,Private room,55,4,26,43640,1.81,1,73
18913450,Light Filled Private Room,27982346,Christopher,Manhattan,East Harlem,40.79729,-73.93537,Private room,49,7,5,43098,0.21,1,0
9615209,Cozy Studio in Luxury Building LIC,49746656,Elva,Queens,Long Island City,40.74572,-73.95679,Entire home/apt,85,5,1,42595,0.03,1,0
15958726,"Affordable 1 bedroom apt, in great neighborhood",103631576,Nayamkah,Brooklyn,Bedford-Stuyvesant,40.68411,-73.94494,Entire home/apt,100,2,5,42879,0.16,1,0
2460611,1890s North Williamsburg Townhouse,4137875,Rachel,Brooklyn,Greenpoint,40.72559,-73.95033,Private room,145,2,21,43577,0.45,1,64
34706620,Trendy open concept Williamsburg loft apartment,261768544,Kori,Brooklyn,Williamsburg,40.71125,-73.96116,Entire home/apt,300,2,5,43647,2.94,1,57
764753,Beautiful 3 bedroom apartment!!,3371859,Jenny & Jose,Brooklyn,Crown Heights,40.67679,-73.93776,Entire home/apt,82,8,108,43632,1.33,2,238
4512329,Spacious Room in Sugar Hill,16685925,Douglas,Manhattan,Washington Heights,40.83089,-73.94125,Private room,49,3,3,42565,0.05,2,0
15095408,One bedroom in luxury FiDi building,17423162,Rishab,Manhattan,Financial District,40.7083,-74.01406,Private room,80,5,1,42736,0.03,1,0
17459791,Bedroom Upper West Side 10min walk to Central Park,12588825,Kyle,Manhattan,Upper West Side,40.79358,-73.97452,Private room,175,4,3,43044,0.11,1,0
7255372,~Room for Guest in Stunning BK Apt~,37987441,Addie,Brooklyn,Bedford-Stuyvesant,40.68538,-73.92447,Private room,32,3,7,43492,0.15,1,0
35195915,Chelsea HIGHLINE Prime Location,244131674,Alexis,Manhattan,Chelsea,40.749,-74.00244,Entire home/apt,300,2,3,43653,3,1,365
34717733,TheGreystone,239661123,Shantell,Queens,Queens Village,40.72774,-73.73462,Entire home/apt,99,1,6,43653,4.86,1,15
4267133,Large private room in huge LES Apt,6793885,Nick,Manhattan,Lower East Side,40.72156,-73.98712,Private room,70,1,2,42165,0.03,1,0
36115461,Private Room In a Beautiful Tree-Lined Brownstone,24633205,Joshua,Brooklyn,Bedford-Stuyvesant,40.6887,-73.93982,Private room,50,1,1,43646,1,1,27
27338033,"Private Bushwick Room -- Close to J, M, L Trains",206009618,Keilyn,Brooklyn,Bushwick,40.70055,-73.93024,Private room,56,2,32,43641,2.97,1,158
959478,"Chic, Cozy LES 1BR. Weekly clean included!",4191076,Michelle,Manhattan,Chinatown,40.71687,-73.99046,Entire home/apt,87,59,51,43497,0.66,1,0
35768121,Murray Hill studio,2448443,Alex,Manhattan,Murray Hill,40.74849,-73.97708,Entire home/apt,140,3,1,43633,1,1,3
30512146,Artsy Upper East Side Apartment,21296382,Victor,Manhattan,Upper East Side,40.76703,-73.95957,Entire home/apt,200,3,3,43577,0.46,1,188
20000820,Sunny and Spacious private bedroom,27527984,S,Brooklyn,Bushwick,40.69613,-73.90768,Private room,66,1,2,43016,0.09,1,0
450577,1 bdrm brownstone-west 70's-1 block Central Park,2237267,Marjorie,Manhattan,Upper West Side,40.77555,-73.9767,Entire home/apt,250,3,73,43623,0.84,1,284
21824124,Boutique Gowanus Queen Studio,159091490,Melissa,Brooklyn,Gowanus,40.6786,-73.98381,Private room,139,1,82,43653,4.16,17,355
13802334,Bright chic room in Clinton hill,35775878,Lisa,Brooklyn,Clinton Hill,40.68366,-73.96563,Private room,65,7,10,43079,0.28,1,0
1455804,One Bedroom Apt Near Central Park,4028305,Abigail,Manhattan,Morningside Heights,40.8057,-73.95826,Entire home/apt,175,2,1,43036,0.05,1,0
20662567,Home with Private Terrace Off the Park,147796643,Cole,Manhattan,Upper West Side,40.78875,-73.9679,Private room,150,2,5,43365,0.22,1,0
8372368,The Herkimer House  Room #2,27708645,Malik,Brooklyn,Bedford-Stuyvesant,40.67831,-73.93903,Private room,65,3,3,42290,0.07,1,342
33113990,Adorable walk-up on the high line—with views!,2919299,Sean,Manhattan,Chelsea,40.75024,-74.00213,Entire home/apt,175,4,3,43625,1.11,1,15
34962979,Cozy 1bedroom apt/Manhattan/East side,48950686,Lili,Manhattan,Upper East Side,40.77821,-73.95504,Entire home/apt,150,2,3,43646,3,1,164
19317834,"Artsy, Cozy 1 bedroom in Flatbush",5416971,Nia,Brooklyn,East Flatbush,40.64041,-73.95133,Entire home/apt,97,2,21,43598,0.85,1,0
31275494,Comfortable affordable room #5,20120009,Jannices,Brooklyn,Bushwick,40.68929,-73.90605,Private room,38,1,5,43635,0.82,6,7
14030375,Vanilla Tea - Cozy Studio Hideaway in Bed Stuy #5,57186170,Deirdre,Brooklyn,Bedford-Stuyvesant,40.68374,-73.9447,Private room,68,2,134,43636,3.8,3,245
34742586,Bright and Sunny Urban Getaway,85521952,Gregory,Manhattan,Inwood,40.86858,-73.92042,Entire home/apt,200,2,1,43646,1,1,234
21814906,Live/Work East Williamsburg Loft,6502688,Bryan,Brooklyn,Williamsburg,40.70592,-73.93513,Entire home/apt,165,2,7,43499,0.37,1,0
32517517,Bright room with Open Terrace 3min walk to Subway,204704622,Momoyo,Queens,Elmhurst,40.74063,-73.87732,Private room,33,29,1,43632,1,7,34
31859909,Beautiful room with view in newly-renovated house,5704932,Victor,Bronx,Fordham,40.86643,-73.88895,Private room,65,2,7,43556,1.28,3,110
27201257,Charming & convenient to subways/1 bed. brownstone,200391647,Lauren,Brooklyn,Park Slope,40.67947,-73.97618,Entire home/apt,150,7,1,43391,0.11,1,0
22480570,Sunny & Cozy Double Bedroom with private entrance,22382224,Meryem,Brooklyn,Windsor Terrace,40.66023,-73.9804,Private room,85,1,6,43192,0.33,1,0
33776235,Bright apt in the heart of the lower east side!,42615337,Capucine,Manhattan,East Village,40.72241,-73.98554,Entire home/apt,180,5,1,43649,1,1,32
27817851,A Nice Room For Unique people,152246149,Catherine,Bronx,Throgs Neck,40.82952,-73.82818,Private room,140,1,31,43625,3.01,5,365
10360144,Live like a local in NYC! Next to Ditmars subway,16823940,Missy,Queens,Ditmars Steinway,40.77673,-73.90993,Private room,40,2,8,43624,0.2,2,229
20582991,Private studio in midtown Manhattan,120762452,Stanley,Manhattan,Murray Hill,40.74844,-73.97713,Entire home/apt,130,30,1,43040,0.05,50,364
10035920,Best of Brooklyn,51502398,Sasha,Brooklyn,Crown Heights,40.6698,-73.94992,Entire home/apt,175,3,77,43633,1.8,1,54
17111449,Spacious Private Room - Harlem/Manhattan Townhouse,4538012,Karen,Manhattan,East Harlem,40.80921,-73.94002,Private room,70,2,89,43645,3.28,4,249
8777936,Prime carroll gardens chrming 2 bed rooms,40611169,Sol,Brooklyn,Carroll Gardens,40.67778,-73.9952,Entire home/apt,250,1,50,43641,1.46,5,365
32308362,Quiet Mid-Century Modern Apartment,99763169,Ashlin,Manhattan,Upper West Side,40.77995,-73.98464,Entire home/apt,220,2,3,43584,0.62,1,36
3638852,Sunny room in Alphabet City,3563235,Andra,Manhattan,East Village,40.72135,-73.98,Private room,85,5,12,42619,0.2,1,0
4129487,Peaceful Retreat in a Brownstone,18397763,Seun And Marie,Brooklyn,Bedford-Stuyvesant,40.68706,-73.93077,Private room,67,2,21,43606,0.36,7,58
26706133,Beautiful brand new apartment !,199147185,Lou,Brooklyn,Sunset Park,40.66362,-73.99616,Entire home/apt,330,1,1,43408,0.12,5,174
12869679,Loft Apartment in Williamsburg,1233402,Evan,Brooklyn,Williamsburg,40.7125,-73.9529,Entire home/apt,180,3,3,42527,0.08,1,0
31042197,Sunny Boutique Condo on Picturesque Harlem Street,231863607,Jerry And Kate,Manhattan,East Harlem,40.80719,-73.94088,Entire home/apt,250,2,10,43562,1.54,1,0
25135772,Comfy one bedroom with backyard,189971299,Karen,Manhattan,Upper West Side,40.8004,-73.96867,Entire home/apt,225,3,23,43646,1.8,1,283
12422277,Spacious Studio w/ Patio- Ft Greene,43924728,Shawn,Brooklyn,Fort Greene,40.68702,-73.97506,Entire home/apt,169,2,136,43632,3.46,1,251
7074961,"Spacious bright 2-bed duplex in Bed-Stuy, Brooklyn",37095710,Mary,Brooklyn,Clinton Hill,40.68664,-73.95981,Entire home/apt,170,7,3,42622,0.08,1,0
16497297,Glass factory loft,5379884,Jacob,Brooklyn,Greenpoint,40.73792,-73.95541,Private room,60,7,5,43616,0.16,1,0
13923165,Cozy Private Bedroom in Uptown Manhattan,69376422,Abbey,Manhattan,Washington Heights,40.84198,-73.93816,Private room,40,2,1,42577,0.03,1,0
16135399,Nice Room in the Upper West Side. Great Location.,105258361,Elena,Manhattan,Upper West Side,40.79528,-73.97325,Private room,100,3,38,43558,1.21,1,14
31430577,Upper East Side One Bedroom,79520100,Bee,Manhattan,East Harlem,40.7868,-73.95228,Private room,50,2,29,43624,5,1,0
30246807,Stay into heart of Brooklyn close  Prospect Park B,227134858,Hitalo,Brooklyn,Prospect-Lefferts Gardens,40.66225,-73.94126,Private room,74,1,20,43639,2.83,5,125
5418807,Home away From Home in Queens!,27614204,Stella,Queens,Bayswater,40.59968,-73.76452,Private room,60,2,81,43632,1.6,1,312
19714056,"Bright, spacious bedroom in comfy Brooklyn home",3013202,Chelsea,Brooklyn,Bushwick,40.69997,-73.91666,Private room,70,4,1,42968,0.04,1,55
14349588,DUMBO Brooklyn Authentic Loft,32207621,Cynthia,Brooklyn,DUMBO,40.70267,-73.98828,Private room,125,12,24,43401,0.69,1,0
21472882,Cozy Room in the Heart of Williamsburg,14278133,Sharif,Brooklyn,Williamsburg,40.71766,-73.94937,Private room,60,2,7,43388,0.34,3,0
29612355,Rare gem nestled in the heart of Bushwick,6814283,Marc,Brooklyn,Bushwick,40.70218,-73.93034,Entire home/apt,140,3,3,43583,0.48,1,0
193853,Quiet Chelsea Studio w/Charm,48599,Anastasia,Manhattan,Chelsea,40.74033,-74.00024,Entire home/apt,149,6,23,43241,0.27,2,0
25999678,Light & Airy home 1 minute to subway,7772526,Ting Yi,Brooklyn,Bushwick,40.68658,-73.91418,Entire home/apt,140,3,15,43628,2.76,2,240
27752788,Bright and Spacious Apt in the Heart of Manhattan,22072708,Mk,Manhattan,Midtown,40.74264,-73.98361,Entire home/apt,199,3,14,43633,1.33,1,3
21751275,Modern West Soho Apartment,27551651,Rachel,Manhattan,SoHo,40.72591,-74.00396,Entire home/apt,225,2,9,43585,0.49,1,6
17045488,Huge Room in Home with Backyard Near Metro,23878336,Armando,Bronx,Fordham,40.87031,-73.89322,Private room,79,3,98,43640,3.45,10,68
9926520,BK/NYC Apt near Prospect Prk,432318,Taylor,Brooklyn,Kensington,40.644,-73.98091,Entire home/apt,85,7,3,43467,0.14,1,0
18716602,Charming 2brs w/ private garden in Carroll Gardens,62734,Kremer,Brooklyn,Gowanus,40.67862,-73.9923,Entire home/apt,120,30,2,43405,0.19,2,342
27783586,Williamsburg nest with private bathroom,20448671,Kandi,Brooklyn,Williamsburg,40.70755,-73.94377,Private room,65,2,22,43645,2.25,3,173
21982758,Cozy 1 Bedroom in the Heart of Clinton Hill,10763283,Heather,Brooklyn,Clinton Hill,40.68165,-73.96006,Entire home/apt,110,3,15,43620,0.83,1,3
13554710,"Modern Oasis l -Prospect Park, Close to B/Q Subway",47050813,Jewel,Brooklyn,Flatbush,40.65034,-73.96342,Private room,62,1,167,43643,4.52,2,48
33156988,Beautiful Bright TriBeCa Loft - steps from Soho!,61256671,Jason,Manhattan,Tribeca,40.71989,-74.00668,Entire home/apt,290,2,4,43641,2.26,1,75
34416461,Amazing room at Brooklyn close to subway station,251311623,Vitória,Brooklyn,Bedford-Stuyvesant,40.67853,-73.91262,Private room,58,2,3,43654,1.48,5,167
6262645,Queen-sized bed in sunny East Harlem private room,32304586,Amanda,Manhattan,East Harlem,40.79115,-73.94663,Private room,90,3,95,43634,1.88,1,175
17249755,Bedstuy/Bushwick - Fully Renovated One Bedroom,11638358,Jeremy,Brooklyn,Bedford-Stuyvesant,40.69,-73.93783,Entire home/apt,100,4,77,43632,2.66,2,100
20573565,Spacious room in central Brooklyn location,125692898,Andrea,Brooklyn,Bushwick,40.70463,-73.92428,Private room,70,2,2,42982,0.09,1,0
34999128,Nice and cozy ✌ holiday apartment✿,255222056,Alex,Manhattan,Midtown,40.75869,-73.96725,Entire home/apt,195,5,12,43647,7.83,1,6
7840953,Large Lofted Brooklyn Studio,7579910,Christine,Brooklyn,Bedford-Stuyvesant,40.69588,-73.93944,Entire home/apt,105,30,5,43465,0.11,1,363
28587071,Private Bedroom in Queens at St. John's University,215759678,Andrew,Queens,Jamaica Estates,40.71987,-73.79816,Private room,35,2,30,43649,3.35,1,233
17829241,All in one place (A),74179880,Silvia,Brooklyn,East New York,40.6754,-73.88989,Private room,75,3,71,43626,2.61,8,360
34109512,Beautiful Apartment in Luxury building,156853666,Helen!,Manhattan,Hell's Kitchen,40.7689,-73.98993,Entire home/apt,225,3,8,43630,4.29,1,49
27159664,Beautiful Sunny Private Bedroom in Brooklyn (JMZ),53365451,Brigid,Brooklyn,Bedford-Stuyvesant,40.6939,-73.93239,Private room,50,6,2,43466,0.18,1,0
29165306,15% Discount - Cozy Room in LES with Backyard,219782181,Vince,Manhattan,Lower East Side,40.715,-73.98596,Private room,80,1,22,43633,2.54,3,123
212109,2-bedroom share in heart of Greenwich Village!,666271,Susan,Manhattan,West Village,40.73854,-74.00821,Private room,80,90,9,43646,0.2,1,338
